,No,Response
6635,6635,"Oui la zoé est trop chère mais à l'avantage d'avoir le choix dans la finition.Ils font payer trop chère les batteries. Il faudrait qu'il baisse le prix de 2000-2500 euros pour être phase avec la concurrence.Mais bon il faudra attendre la relève (phase 2) et les nouvelles concurrences(208, corsa...) pour voir où elle se situe"
6636,6636,
6637,6637,
6638,6638,
6639,6639,
6640,6640,
6641,6641,
6642,6642,ah oui bien vue l'évolution techno et les loyers élevé !
6643,6643,
6644,6644,
6645,6645,
6646,6646,"Le pire, j ai des bornes de rechargement gratuite et dispo à mon boulot (pour le moment car va finir en avantage en nature) mais incompatible avec la zoé "
6647,6647,Prise T3 ?
6648,6648,Il n'y a pas un câble ad hoc ? comment se fait il que ce ne soit pas compatible? (même problème avec les 2 moteurs ?)
6649,6649,
6650,6650,"C'est bizarre. Problème de terre, plus sensible sur la ZOE ?"
6651,6651,"C'est vraiment bizarre cette histoire, ça donne envie de creuser la question..."
6652,6652,
6653,6653,Ma petite Zoe:Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 vote
6654,6654,superbe cette ZOÉ toute noire...par contre ce doit être de l'esclavage pour la garder propre... 
6655,6655,
6656,6656,"Merci  En noir, ça change je trouve."
6657,6657,
6658,6658,
6659,6659,Reprise du message précédent :
6660,6660,Rendement de la PAC est de 50% maintenant. Mais cela ne bouleverse pas le résultat.
6661,6661,
6662,6662,
6663,6663,
6664,6664,pour illustrer un peuRenault Zoe 2Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteRenault Zoe 3Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteRenault Zoe 1Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 vote
6665,6665,"Par chez moi, ç est beaucoup de véhicule ENGIE "
6666,6666,Chez moi c'est des Zoé de l'administration bruxelloise
6667,6667,
6668,6668,La Guerre du mensonge: Histoire secrète de la désinformation....dans l'automobile aussi !!!!!
6669,6669,"Attendez les gars, il ne parle pas que de ça! le reste de l'analyse est beaucoup plus passionnant!- il a raison sur la pollution chimique- il a raison sur la dépendance à la chine- il a raison sur l'augmentation globale du marché et donc de la pollution (comme c'est ""propre"", personne ne se prive de rouler toujours davantage!).Le fond de son analyse c'est que comme c'est plus propre, personne n'apprend à se modérer, c'est ça qui est beaucoup plus gênant...."
6670,6670,
6671,6671,"C'est l'effet pervers d'un argumentaire vrai par endroit et faux à d'autres...Oui, construire un bien de consommation ça pollue !Oui, il est possible qu'aujourd'hui construire une voiture électrique ça pollue plus qu'une thermique...mais les choses évoluent...et plus on construira des électriques et moins ce sera polluant de les fabriquer.Oui, ça pollue de rouler en électrique tant que l'énergie électrique ne sera pas majoritairement produite à partir d'énergie ""propre""...mais malgré tout ça pollue moins la planète que de rouler en thermique.Au globale sur sa durée de vie une voiture l'électrique est moins polluante...à condition de rouler avec !!!Acheter une voiture électrique pour ne pas rouler c'est surement un non sens...mais les mentalités ne sont pas encore habituées à ce fait...La voiture électrique c'est l'avenir ?En tout les cas c'est UN avenir... "
6672,6672,"Oui, un avenir parmi d'autre, mais certainement pas un avenir ""zéro pollution"". Il faut bien comprendre que c'est aussi un nouvel eldorado de business pour des boîtes..., et pas beaucoup plus vertueux d'un point de vue écologique. Un peu moins pire que le pétrole.La vraie vertu serait de renoncer à un peu de notre consommation, de nos déplacements, etc..."
6673,6673,
6674,6674,
6675,6675,"Les électriques ont l'avantage de rendre les villes plus respirables, et rien que pour ça, elles ont une raison d'être! Mais il faut aussi raisonner à l'échelle de la planète, et là l'analyse du mec est très intéressante.Et dire : ""on reste enfermé chez soi et on fait plus rien"" ça mène nulle part dans la discussion. C'est pourri comme argument, il s'agit pas de ça.Est-ce que déjà vous seriez prêt à renoncer à un voyage d'agrément en avion pour ménager la planète? (y compris des vacances qui demandent de prendre l'avion!)Beaucoup de gens qui font un petit geste pour la planète se sentent justement autorisés à ne pas faire d'effort par ailleurs (en se disant, à tort, qu'ils ""compensent"" tel acte polluant par un autre moins polluant), mais ce n'est pas comme ça qu'il faut raisonner!Qui se soucie de savoir que netflix pompe le soir 1/3 de l'énergie du fonctionnement de l'internet ?qui est prêt à renoncer à son envie du nouvel iphone XYZ pour ne pas faire venir un bateau de chine?Qui s'astreint à prendre le métro plutôt qu'un über qui fait circuler des voitures avec 1 client à bord?"
6676,6676,
6677,6677,
6678,6678,
6679,6679,
6680,6680," Actuellement, il y a une promotion sur les Zoé d'occasion, avec la batterie à un euro par mois pendant un an. Mais on dirait que toutes ne peuvent pas en bénéficier, en regardant sur le site Renault Occasions.  https://occasion.renault.fr/of​fres/zoe.htmlJ'en ai vu une à 7490€ chez Renault, elle colle pour les critères d'âge et de kilométrage, mais d'après le vendeur elle ne serait pas éligible.  Quelqu'un connaîtrait il les subtilités de l'offre ?"
6681,6681,"Aussi, lorsque je vois ces tarifs sur le site de Renault...https://www.renault.fr/achat-v [...] %5B%5D=ZOE... les prix affichés tiennent-ils compte déjà du bonus fiscak de 6k€, ou il vient encore en déduction ?"
6682,6682,
6683,6683,"Etrange…depuis le changement d'heure, ma recharge, programmée à partir de 23h30 pour bénéficier des HC, commence à 22h30J'ai pensé que la Zoe n'était pas à l'heure, mais après vérification, siUne idée, à part reprogrammer?"
6684,6684,
6685,6685,
6686,6686,https://www.automobile-propre.​com/la-premiere-renault-zoe-en​-combo-ccs-devoilee/
6687,6687,"Bonne nouvelle, pour le CCS"
6688,6688,"Mes parents ont signé aujourd'hui pour la Zoé, ils ont fait le choix d'un modèle qui vient d'avoir 4 ans, en charge rapide, en concession Renault. Elle arrive à la fin du mois. "
6689,6689,"""en charge rapide"" c'est quel modèle ?"
6690,6690,
6691,6691,
6692,6692,
6693,6693,
6694,6694,
6695,6695,Reprise du message précédent :
6696,6696,
6697,6697,
6698,6698,
6699,6699,
6700,6700,Petite question : quelle puissance d'abonnement EDF faut il souscrire pour une Zoe ??Merci .
6701,6701,
6702,6702,
6703,6703,
6704,6704,
6705,6705,"J'ai loué une Zoé avec l'appli Moovin à paris l'autre jour! super à conduire! j'ai adoré!J'ai lu qu'une version avec une batterie encore + grosse allait sortir ? (restylage), genre 600km...je pense que ça ne servira que 1% du temps ce genre d'autonomie mais effectivement ça rassure certaines personnes à l'achat."
6706,6706,"Des évolutions sont prévu pour 2019 oui, mais sans plus de précisions pour le moment."
6707,6707,
6708,6708,
6709,6709,
6710,6710,
6711,6711,à voir également si la gestion de la température de la batterie sera sur cette nouvelle mouture !!!  Pour le moment avec la R40 on se situe environ à 300 km d'autonomie en été mais plutôt 220 km en hiver !!!
6712,6712,
6713,6713,Sur la nouvelle KONA electric la batterie est apparemment maintenue en température en hiver pour éviter la perte d'autonomie...et ça semble fonctionner selon les premiers retours des utilisateurs.
6714,6714,
6715,6715,
6716,6716,
6717,6717,sinon à mettre un panneau photovoltaïque sur le toit et produire le jus nécessaire!
6718,6718,
6719,6719,"J'ai constaté un truc sur la mienne: j'ai moins d'autonomie en Eco qu'en normal.Je m'explique: dans les deux cas, le matin, chargée à fond, ça m'indique autour de 260 kmMais en additionnant la distance roulée et la restante je tends vers 240/250 en mode ""normal"", invariablement vers 200/220 en mode ""éco"".Aurais-je naturellement un pied droit plus économe que le mode éco? "
6720,6720,Peut être que tu appuies plus pour compenser la perte de puissance et au final tu consommes plus.
6721,6721,
6722,6722,Ah ok j'avais un doute.Cela existe sur la Prius Plug in. C'est pas foufou. 5 kms de plus par jour au maximum.Reste le cas extrême. Sono Sion.https://www.automobile-propre. [...] sono-sion/Jusqu'à 30 bornes de gagné.
6723,6723,"Bonjour à tous  Petite question, est ce que des gens parmi vous ont deja acheté leur batterie?Le changement de 22kw en 40kw est possible (exemple: achat d'une zoe 22kw d'occasion et upgrade en 40kw)?Quelle est le prix d'achat de la batterie?En vous remerciant d'avance "
6724,6724,"Bonjour,Fini les upgrade 40kw. De toute façon à 3000 euros c'etait du vol.Pour le rachat je sais pas."
6725,6725,"Sans deconner?.ais quid de l'usure des batteries 22kw, ils seront pas remplacé?"
6726,6726,
6727,6727,"Quand on sait que les batteries des Fluences ne sont plus disponibles, on sent bien l'anarque de la loc dans les prochaines années."
6728,6728,Remarque c'est pas pour le nombre de Fluence qu'ils ont du vendre... 
6729,6729,"C'est sûr, mais quid de la dispo des batteries 22 et 40kw dans le temps."
6730,6730,"En même temps, quand on voit la ""qualité"" de fabrication de la Zoe, faudrait déjà que le reste de la bagnole tienne plus longtemps que les batteries "
6731,6731,"Reprise du message précédent :En même temps, quand on voit la ""qualité"" de fabrication de la Zoe, faudrait déjà que le reste de la bagnole tienne plus longtemps que les batteries "
6732,6732,"Je l'ai conduite 2 fois j'ai pas vu de différence avec une clio ou autre...bon le levier de vitesse très mécanique avec une énorme résistance fait un peu cheap (tout comme le ""tic tac"" du cligno) mais la voiture m'a l'air construite selon les normes actuelles..."
6733,6733,
6734,6734,"La finition sera j'espère, sera une des chose améliorées sur la Zoé 2. En plus cela ne sera pas difficile."
6735,6735,"c'est vrai lors d'un essai (2x30 minutes en loc à paris) on se rend pas trop compte. On est surtout émerveillé par la technique, le silence, le bruit de soucoupe en dessous de 30km/h, etc...  Est-ce que le frein moteur est plus important en mode ""éco"" ? il m'a semblé que non..."
6736,6736,
6737,6737,51 kWh 
6738,6738,Je mets un billet sur 52  .... histoire de pouvoir annoncer les 400 km en autonomie réelle…. et d'éviter les vannes par rapport au pastis 
6739,6739,Salon de Bruxelles - 18 Janvier 2019Voir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 voteVoir l'image en grand0 votes1 vote0 vote0 votes1 vote0 vote
6740,6740,"salut a tousj'hésite a acheter une zoe pour remplacer une voiture essence ; j'ai fait mon calcul, et a l'achat elle me reviendrait (sous condition de revente de ma voiture actuelle) à 9000€ (+119€ de batterie/mois). Je l'ai essayée, je suis parti sur la version R110, mais je suis pas hyper convaincu par les équipements, la finition et la qualité notamment à l'intérieur.Ma question est simple : pensez-vous qu'il faut attendre la zoe2/le restylage ou ça vaut le coup à ce prix la ? Voire qu'il vaut mieux prendre une autre VE, typiquement la potentielle 208 électrique de la fin d'année ou meme la future leaf 62kWh ou le kona (9 mois d'attente sur celui-ci...) ?Merci pour vos réponses !"
6741,6741,"Pas bien compris comment tu arrives aux 9000€ mais ça ne change pas grand chose à mon propos.A ta place si tu peux attendre, j'attendrais, tu auras à priori plus d'autonomie, une meilleure finition et des équipements plus actuels sur la nouvelle (ou 208 ou autre).Avec la notre, qui date de juin, en ce moment c'est moins de 200 km d'autonomie avec le froid qu'il fait, alors certes on fait un peu de route et d'autoroute, mais ce n'est pas terrible.le R-Link c'est un truc juste à la limite de l'inutisabilté tant c'est lent et peu intuitif!"
6742,6742,"Dans les bouches du Rhone, on a 5000€ de prime en plus par le département. 6000€ pour la revente de ma voiture thermique, et les autres primes et rabais (d'ailleurs quasiment inexistant, quand je vois le prix du neuf) et j'arrive donc a 9000€ prix final.Merci pour ton retour."
